"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://donate.lifeusa.org/donorportal/login","1","Login","5","49","Indexable",""
"https://www.lifeusa.org/blogs","1","LIFE Blog | Life USA","20","174","Indexable",""
"https://donate.lifeusa.org/donorportal/gaza-relief","1","Gaza Relief","11","102","Indexable",""
"https://donate.lifeusa.org/donorportal/udhiyah","1","Udhiyah","7","71","Indexable",""
"https://donate.lifeusa.org/donorportal/?donate=true","1","Home","4","54","Indexable",""
"https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE7MAK","1","Project Designations","20","185","Indexable",""
"https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE9MAK","1","Project Designations","20","185","Indexable",""
"https://donate.lifeusa.org/donorportal/SelfRegister","1","Register","8","74","Indexable",""
"https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE8MAK","1","Project Designations","20","185","Indexable",""
"https://www.lifeusa.org/no","1","no","2","22","Indexable",""
"https://www.lifeusa.org/no/categories/life-blog","1","LIFE Blog","9","82","Indexable",""
"https://www.lifeusa.org/no/categories/giving-charity","1","giving charity","14","118","Indexable",""
"https://www.lifeusa.org/no/categories/reports","1","Reports","7","69","Indexable",""
"https://www.lifeusa.org/no/categories/tax-write-off","1","tax-write off","13","109","Indexable",""
"https://www.lifeusa.org/no/categories/philosophy","1","philosophy","10","95","Indexable",""
"https://www.lifeusa.org/no/categories/purpose","1","purpose","7","72","Indexable",""
"https://donate.lifeusa.org/donorportal/emergency-relief?EmergencyReliefProgram=11WVy000001QlE2MAK","1","Emergency Relief","16","155","Indexable",""
"https://www.lifeusa.org/newsletters","1","Newletters | Life USA","21","190","Indexable",""
"https://www.lifeusa.org/press","1","Press Releases","14","137","Indexable",""
"https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE4MAK","1","Project Designations","20","185","Indexable",""
"https://donate.lifeusa.org/donorportal/project-designations?Program=11WVy000001QlE5MAK","1","Project Designations","20","185","Indexable",""
"https://donate.lifeusa.org/donorportal/campaign?UTM_SourceCode=LebanonEmergencyRelief26&CampaignID=701Vy00001Nj9MLIAZ","1","Campaign","8","91","Indexable",""
"https://donate.lifeusa.org/donorportal/cart","1","Cart","4","38","Indexable",""
"https://donate.lifeusa.org/donorportal/campaign?UTM_SourceCode=UkraineEmergencyRelief&CampaignID=701Vy00001QJyCHIA1","1","Campaign","8","91","Indexable",""
"https://www.lifeusa.org/post/back-to-school-iraq","1","Back to School in Iraq","22","191","Indexable",""
